mha_code,mha_name,rank,with_dependents,without_dependents,lat,lng
AK400,"KETCHIKAN, AK",e1,2646,1986,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e2,2646,1986,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e3,2646,1986,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e4,2646,1986,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e5,2868,2151,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e6,2886,2163,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e7,3027,2382,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e8,3213,2682,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",e9,3441,2739,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",w1,2889,2289,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",w2,3102,2679,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",w3,3336,2751,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",w4,3480,2892,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",w5,3660,3069,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o1e,3060,2631,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o2e,3300,2727,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o3e,3510,2847,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o1,2880,2160,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o2,2883,2550,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o3,3327,2772,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o4,3720,3036,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o5,4002,3141,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o6,4035,3315,55.3430696,-131.6466819
AK400,"KETCHIKAN, AK",o7,4065,3372,55.3430696,-131.6466819
AK401,"SITKA, AK",e1,2355,1767,57.0524973,-135.337612
AK401,"SITKA, AK",e2,2355,1767,57.0524973,-135.337612
AK401,"SITKA, AK",e3,2355,1767,57.0524973,-135.337612
AK401,"SITKA, AK",e4,2355,1767,57.0524973,-135.337612
AK401,"SITKA, AK",e5,3210,2409,57.0524973,-135.337612
AK401,"SITKA, AK",e6,3228,2421,57.0524973,-135.337612
AK401,"SITKA, AK",e7,3294,2472,57.0524973,-135.337612
AK401,"SITKA, AK",e8,3399,2550,57.0524973,-135.337612
AK401,"SITKA, AK",e9,3513,2775,57.0524973,-135.337612
AK401,"SITKA, AK",w1,3231,2424,57.0524973,-135.337612
AK401,"SITKA, AK",w2,3336,2511,57.0524973,-135.337612
AK401,"SITKA, AK",w3,3465,2802,57.0524973,-135.337612
AK401,"SITKA, AK",w4,3531,3213,57.0524973,-135.337612
AK401,"SITKA, AK",w5,3618,3315,57.0524973,-135.337612
AK401,"SITKA, AK",o1e,3312,2484,57.0524973,-135.337612
AK401,"SITKA, AK",o2e,3447,2715,57.0524973,-135.337612
AK401,"SITKA, AK",o3e,3546,3189,57.0524973,-135.337612
AK401,"SITKA, AK",o1,3222,2418,57.0524973,-135.337612
AK401,"SITKA, AK",o2,3225,2475,57.0524973,-135.337612
AK401,"SITKA, AK",o3,3462,2886,57.0524973,-135.337612
AK401,"SITKA, AK",o4,3639,3294,57.0524973,-135.337612
AK401,"SITKA, AK",o5,3768,3348,57.0524973,-135.337612
AK401,"SITKA, AK",o6,3798,3444,57.0524973,-135.337612
AK401,"SITKA, AK",o7,3825,3504,57.0524973,-135.337612
AK402,"JUNEAU, AK",e1,2580,1935,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e2,2580,1935,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e3,2580,1935,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e4,2580,1935,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e5,3354,2517,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e6,3372,2529,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e7,3432,2574,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e8,3531,2724,58.3019613,-134.4196751
AK402,"JUNEAU, AK",e9,3672,2958,58.3019613,-134.4196751
AK402,"JUNEAU, AK",w1,3375,2532,58.3019613,-134.4196751
AK402,"JUNEAU, AK",w2,3471,2721,58.3019613,-134.4196751
AK402,"JUNEAU, AK",w3,3597,2982,58.3019613,-134.4196751
AK402,"JUNEAU, AK",w4,3699,3357,58.3019613,-134.4196751
AK402,"JUNEAU, AK",w5,3831,3453,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o1e,3447,2586,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o2e,3576,2904,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o3e,3720,3333,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o1,3366,2526,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o2,3369,2577,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o3,3594,3060,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o4,3873,3432,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o5,4074,3483,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o6,4110,3573,58.3019613,-134.4196751
AK402,"JUNEAU, AK",o7,4140,3636,58.3019613,-134.4196751
AK403,"KODIAK ISLAND, AK",e1,2436,1827,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e2,2436,1827,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e3,2436,1827,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e4,2436,1827,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e5,2865,2148,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e6,2883,2160,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e7,2970,2229,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e8,3096,2514,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",e9,3282,2637,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",w1,2886,2163,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",w2,3021,2511,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",w3,3177,2655,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",w4,3321,2874,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",w5,3498,2997,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o1e,2991,2421,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o2e,3153,2610,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o3e,3348,2844,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o1,2877,2157,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o2,2880,2349,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o3,3174,2694,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o4,3555,2970,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o5,3831,3039,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o6,3861,3156,57.5433765,-153.3574124
AK403,"KODIAK ISLAND, AK",o7,3891,3213,57.5433765,-153.3574124
AK404,"ANCHORAGE, AK",e1,2277,1707,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e2,2277,1707,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e3,2277,1707,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e4,2277,1707,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e5,2874,2157,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e6,2892,2169,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e7,3045,2283,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e8,3240,2430,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",e9,3486,2616,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",w1,2895,2172,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",w2,3123,2385,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",w3,3369,2619,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",w4,3528,2901,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",w5,3723,3087,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o1e,3078,2310,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o2e,3333,2523,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o3e,3558,2853,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o1,2886,2166,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o2,2889,2286,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o3,3360,2643,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o4,3789,3051,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o5,4095,3162,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o6,4131,3348,61.2163129,-149.894852
AK404,"ANCHORAGE, AK",o7,4161,3405,61.2163129,-149.894852
AK405,"FAIRBANKS, AK",e1,2106,1581,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e2,2106,1581,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e3,2106,1581,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e4,2106,1581,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e5,2436,1827,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e6,2454,1887,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e7,2610,1989,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e8,2814,2166,64.837845,-147.716675
AK405,"FAIRBANKS, AK",e9,3018,2265,64.837845,-147.716675
AK405,"FAIRBANKS, AK",w1,2457,1965,64.837845,-147.716675
AK405,"FAIRBANKS, AK",w2,2694,2163,64.837845,-147.716675
AK405,"FAIRBANKS, AK",w3,2943,2271,64.837845,-147.716675
AK405,"FAIRBANKS, AK",w4,3045,2463,64.837845,-147.716675
AK405,"FAIRBANKS, AK",w5,3171,2655,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o1e,2646,2091,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o2e,2907,2235,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o3e,3066,2415,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o1,2448,1881,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o2,2451,2064,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o3,2937,2301,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o4,3210,2619,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o5,3405,2733,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o6,3432,2922,64.837845,-147.716675
AK405,"FAIRBANKS, AK",o7,3456,2973,64.837845,-147.716675
AL001,"ANNISTON/FORT MCCLELLAN, AL",e1,1176,1065,33.7339069,-85.7983088
AL001,"ANNISTON/FORT MCCLELLAN, AL",e2,1176,1065,33.7339069,-85.7983088
AL001,"ANNISTON/FORT MCCLELLAN, AL",e3,1176,1065,33.7339069,-85.7983088
AL001,"ANNISTON/FORT MCCLELLAN, AL",e4,1176,1065,33.7339069,-85.7983088
AL001,"ANNISTON/FORT MCCLELLAN, AL",e5,1185,1119,33.7339069,-85.7983088
